name,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,dist,hour,tuition,hobby,gender,sep_room,competitive,higher_stud,campus,extra,cet_score
Ruthe Corbridge,9.6,7.32,7.88,9.98,8.56,8.48,9.34,9.88,20,2,No,Yes,Female,Yes,No,Yes,No,No,117
Abbot Bourgaize,9.64,7.05,6.64,7.5,9.04,9.92,9.94,7.68,4,10,Yes,No,Male,No,No,Yes,Yes,Yes,158
Agnes Wootton,9.54,9.86,8.57,6.57,8.58,9.64,9.13,9.05,20,2,Yes,No,Male,No,Yes,No,No,No,124
Edouard Sauvain,9.14,8.97,6.28,7.91,8.68,6.65,6.99,7.99,19,1,No,Yes,Female,Yes,Yes,No,No,No,171
Chiquita O'Rudden,6.25,6.58,6.26,7.07,8.43,7.0,8.73,7.47,20,2,No,Yes,Female,Yes,No,No,Yes,Yes,121
Mohandis McGibbon,9.98,8.64,9.89,9.47,6.57,8.58,7.69,6.85,18,2,Yes,No,Female,No,Yes,Yes,No,No,102
Quintus Roantree,8.32,9.74,8.53,6.6,7.83,9.56,6.75,6.77,17,2,Yes,Yes,Male,No,No,No,No,No,104
Granville Muck,9.54,8.07,6.03,8.47,7.85,6.62,8.91,7.94,6,3,No,Yes,Female,No,Yes,No,Yes,No,153
Cort Lyfe,6.6,8.43,7.43,7.74,7.6,6.44,8.78,9.27,21,7,No,No,Male,Yes,Yes,No,No,No,161
Pierson Twitchett,8.53,9.41,8.69,8.78,8.31,9.06,7.0,8.19,20,2,Yes,Yes,Female,No,No,Yes,Yes,Yes,131
Ricca Drakeley,6.81,6.69,9.36,6.95,8.91,9.84,9.11,8.02,2,2,No,No,Male,Yes,Yes,No,No,Yes,172
Lockwood Willshear,9.4,6.59,6.36,8.08,9.27,8.26,8.95,6.32,21,9,No,No,Male,Yes,No,Yes,No,No,165
Emmerich Bradborne,6.86,6.75,7.38,6.93,9.33,6.84,8.25,9.49,7,3,Yes,No,Female,Yes,No,Yes,No,No,107
Mayer Buff,9.36,6.44,6.07,7.85,6.24,8.09,9.86,7.5,7,10,Yes,Yes,Female,No,No,No,Yes,Yes,152
Cindee Cahillane,8.07,8.11,7.17,9.53,8.8,7.79,8.25,7.48,15,9,Yes,Yes,Female,No,Yes,No,No,No,148
Gene Grishelyov,9.86,8.78,8.56,7.06,8.14,9.19,7.51,7.94,12,1,Yes,No,Male,No,No,No,Yes,Yes,118
Sada Synan,6.17,8.7,8.87,8.11,9.73,6.22,7.52,9.16,5,1,No,No,Female,Yes,Yes,Yes,No,No,167
Lolly Saddleton,9.24,7.81,7.18,7.94,7.27,7.09,7.73,9.81,23,10,No,No,Male,No,No,No,Yes,Yes,94
Susanna Banasiak,9.91,8.79,8.05,8.24,9.74,7.37,6.96,8.61,11,5,Yes,Yes,Male,Yes,No,No,No,No,139
Filmer Marco,9.38,7.35,9.29,7.33,7.7,8.32,6.26,9.83,3,9,No,No,Male,No,No,No,Yes,Yes,116
Pryce Fearby,9.89,7.99,9.55,6.91,9.58,9.63,7.57,7.7,8,1,No,Yes,Female,Yes,No,Yes,No,No,98
Theda Romi,7.59,6.16,9.99,8.28,6.02,9.82,9.49,8.84,22,4,Yes,No,Female,No,No,Yes,No,No,174
Janetta Fillary,8.4,6.23,7.92,9.08,6.61,6.99,6.53,9.89,17,0,Yes,No,Female,No,Yes,No,No,No,110
Ambros Fernely,8.55,8.44,8.86,8.51,9.66,8.91,7.51,6.17,10,5,Yes,Yes,Female,Yes,No,Yes,No,No,149
Curtis Decent,8.72,7.26,8.54,6.01,6.36,7.09,7.11,6.69,17,10,No,No,Male,Yes,No,No,No,Yes,179
Quint Coast,6.79,8.38,7.89,9.18,9.05,9.99,6.86,7.44,24,10,No,No,Female,Yes,Yes,No,No,Yes,131
Tedda Hacking,9.27,9.43,9.97,6.38,9.82,7.15,6.34,9.79,19,1,No,Yes,Female,Yes,No,No,Yes,No,151
Verine Dunseith,9.62,6.41,9.47,7.45,6.37,7.47,7.48,7.17,19,1,No,No,Female,Yes,No,Yes,No,No,156
Berton Lintall,7.97,6.68,9.9,7.97,8.61,6.69,6.74,8.36,19,2,No,Yes,Female,No,No,Yes,No,Yes,135
Melantha Tennewell,6.82,7.97,6.86,6.92,8.07,9.47,9.77,9.79,6,1,No,Yes,Male,No,No,No,No,Yes,149
Celestyna Vasilchikov,7.79,6.22,8.4,9.51,7.03,7.27,9.95,8.67,22,6,Yes,No,Male,Yes,Yes,Yes,Yes,No,106
Arlette Barkas,7.68,8.09,6.76,9.86,6.03,6.8,9.53,8.9,7,7,No,Yes,Male,No,Yes,No,No,Yes,155
Cariotta Guess,8.23,9.3,9.42,6.77,7.41,7.98,9.53,9.85,5,0,No,No,Female,No,Yes,Yes,No,Yes,105
Davine Bodiam,6.33,9.38,6.98,6.52,6.89,8.39,9.51,8.39,2,0,No,No,Male,No,No,No,Yes,Yes,166
Leanora MacCague,8.52,7.97,8.94,6.72,8.01,8.31,8.29,9.44,8,2,No,No,Female,No,No,Yes,Yes,No,84
Olivero Goodlud,8.13,6.59,8.77,8.07,9.88,8.82,9.61,8.11,15,2,Yes,No,Male,No,Yes,No,Yes,Yes,170
Jodie Aleksashin,8.18,9.43,6.01,6.89,9.4,7.34,8.71,7.53,3,10,No,Yes,Female,No,No,Yes,Yes,No,125
Michale Moller,8.74,9.05,8.04,6.73,7.67,9.3,7.91,6.13,15,7,No,No,Male,No,Yes,No,Yes,No,139
Ali Croyser,8.41,6.26,6.75,7.0,6.13,8.01,9.01,8.26,10,7,No,No,Male,Yes,No,Yes,No,Yes,101
Beitris Stubbert,7.4,7.26,6.8,7.55,8.47,7.18,6.14,7.12,4,8,No,No,Female,Yes,Yes,Yes,Yes,No,158
Lion Checci,6.36,9.57,6.53,9.46,8.15,9.01,7.28,8.84,20,10,No,No,Male,No,No,Yes,No,Yes,155
Chickie Caen,8.69,9.04,7.2,6.04,7.22,9.52,9.58,8.51,12,5,Yes,No,Male,Yes,Yes,Yes,No,Yes,89
Brenda O'Howbane,9.5,7.87,9.35,9.58,6.95,8.33,9.54,7.59,10,7,Yes,No,Male,Yes,No,No,Yes,Yes,125
Ernaline Allbrook,6.09,8.46,6.96,6.49,6.83,8.08,9.92,7.0,20,1,No,Yes,Female,Yes,No,Yes,No,Yes,170
Leoline Rablen,7.34,6.86,9.19,8.3,8.71,6.36,6.45,6.87,14,7,Yes,Yes,Female,Yes,Yes,Yes,No,No,85
Worthy Phetteplace,7.73,8.79,6.63,9.38,8.14,9.24,6.41,6.98,13,6,Yes,No,Female,No,No,Yes,No,No,132
Cathrin Accombe,6.01,8.46,6.71,7.47,8.47,7.51,7.33,7.48,8,0,Yes,Yes,Female,No,No,No,Yes,Yes,170
Rocky Heyfield,9.63,6.56,8.82,7.96,9.31,6.82,6.39,7.67,24,9,No,Yes,Male,No,Yes,Yes,Yes,Yes,147
Ranee Goodisson,8.36,8.62,8.84,6.86,6.14,7.09,7.07,7.08,11,1,Yes,No,Male,Yes,Yes,No,No,No,173
Shari Dowrey,8.24,9.42,7.99,9.28,7.75,9.22,8.42,8.69,5,9,Yes,No,Male,Yes,Yes,No,No,No,143
Saw McCrystal,6.78,6.65,7.02,8.84,9.83,8.13,9.88,9.66,14,6,No,No,Male,Yes,No,No,Yes,No,135
Tiler Kures,7.13,7.89,9.63,8.87,7.72,9.77,9.59,6.7,7,8,No,Yes,Male,No,No,No,No,No,177
Cassy Junkison,6.21,6.21,8.03,7.8,8.1,6.53,6.52,6.59,4,5,Yes,Yes,Male,No,Yes,Yes,No,Yes,146
Murial Spyer,9.1,8.09,9.2,7.02,6.66,9.91,9.07,7.42,5,9,No,Yes,Male,Yes,No,Yes,No,Yes,174
Andrej Janik,6.62,7.49,6.51,7.32,8.63,7.41,9.17,8.17,16,0,Yes,Yes,Female,Yes,No,Yes,No,No,159
Jeannie MacDowal,6.2,7.43,8.54,8.87,8.14,8.37,9.83,7.91,7,6,Yes,Yes,Female,No,Yes,No,No,No,101
Jermaine Newnham,9.46,9.06,9.45,8.8,8.65,9.98,9.44,8.31,4,6,Yes,Yes,Female,No,No,No,No,No,140
Shane MacComiskey,8.88,8.31,6.99,6.56,9.56,9.21,8.58,6.2,12,1,Yes,Yes,Female,No,Yes,No,No,Yes,81
Lorna De Atta,9.86,7.0,8.98,9.21,8.23,8.01,6.86,8.77,7,7,Yes,Yes,Male,No,Yes,Yes,No,No,127
Cathyleen Woolley,6.04,8.36,7.05,7.22,7.22,9.38,7.24,7.59,22,8,No,Yes,Female,Yes,Yes,Yes,Yes,No,125
Kendrick Fabler,8.45,6.38,6.98,6.65,6.97,6.14,7.05,8.85,21,5,Yes,Yes,Male,No,No,No,No,No,132
Ennis Odell,8.11,8.78,7.38,7.99,9.01,7.01,6.44,6.35,23,4,No,No,Female,Yes,Yes,No,No,Yes,91
Tedd McConnell,6.87,6.12,6.08,8.96,6.69,6.45,9.22,6.21,14,7,No,Yes,Female,No,Yes,No,No,Yes,166
Peta Stark,8.49,8.23,9.42,8.7,9.29,7.86,6.64,9.75,24,3,Yes,Yes,Female,No,No,No,No,Yes,102
Griswold Ianniello,9.52,6.81,6.91,6.46,6.24,6.12,9.02,7.32,14,7,No,Yes,Male,No,Yes,Yes,No,Yes,107
Theodosia Weller,9.0,7.6,6.38,8.72,9.12,9.58,8.58,7.8,8,1,No,Yes,Female,No,Yes,Yes,Yes,No,84
Oates Berling,8.26,7.57,7.06,8.64,9.52,6.08,8.3,9.54,9,6,No,Yes,Female,Yes,No,No,Yes,No,178
Oralee Corde,7.64,7.53,8.7,6.2,7.93,9.74,8.37,7.65,25,7,No,No,Male,No,Yes,No,No,No,113
Erma Corson,8.5,7.87,8.25,8.4,8.25,9.5,6.37,9.04,17,5,Yes,No,Male,Yes,Yes,Yes,Yes,Yes,84
Terrel Luna,7.8,6.86,6.7,7.69,9.42,6.03,7.96,9.88,10,5,Yes,No,Female,No,Yes,Yes,No,No,131
Manya McCawley,8.2,8.56,8.03,8.85,7.71,6.94,6.9,9.94,20,10,No,Yes,Female,Yes,No,Yes,Yes,No,132
Marquita Raxworthy,7.2,9.25,6.66,9.1,6.41,6.36,8.81,6.41,15,3,No,Yes,Male,No,Yes,No,Yes,Yes,82
Carena Copyn,6.87,7.73,9.68,9.67,9.55,7.94,6.77,6.18,9,2,No,No,Male,No,Yes,No,Yes,Yes,162
Ginnie Sandercock,7.83,6.7,8.85,8.69,7.38,8.66,7.65,6.87,3,3,Yes,No,Male,Yes,Yes,Yes,No,No,124
Sutherlan Philpots,7.65,7.79,8.68,6.66,8.11,9.44,9.72,6.02,15,9,Yes,No,Female,Yes,Yes,No,Yes,Yes,151
Woodie Croll,6.66,9.21,8.03,9.41,7.38,9.44,7.59,8.59,9,5,Yes,Yes,Male,Yes,Yes,Yes,Yes,Yes,171
Darin Jahan,6.17,6.13,6.63,8.59,9.96,6.07,9.93,9.69,4,0,Yes,Yes,Female,No,Yes,No,Yes,No,159
Rosene Kearton,9.88,6.12,8.85,6.01,7.27,8.83,7.76,9.43,19,3,Yes,Yes,Female,No,Yes,Yes,Yes,No,89
Augustus Darbyshire,9.29,6.87,8.99,7.57,6.32,8.27,6.23,7.2,5,7,Yes,No,Male,Yes,No,No,Yes,Yes,129
Abran Dytham,7.33,7.56,7.63,9.59,6.92,6.24,6.82,7.89,14,10,No,No,Male,Yes,No,Yes,No,Yes,133
Lalo Grimsdale,6.3,8.34,8.54,9.35,9.74,7.69,7.85,9.83,2,5,Yes,No,Female,No,Yes,Yes,No,No,81
Elva Rowlson,8.33,8.11,6.89,7.3,8.48,9.51,8.94,7.02,2,7,Yes,Yes,Female,Yes,Yes,No,No,No,115
Gale Showler,8.67,8.73,8.29,7.19,6.5,7.92,8.0,9.0,24,1,No,No,Male,Yes,No,No,No,No,88
Zsa zsa Bauduin,8.76,7.72,6.32,9.29,8.24,9.92,7.81,9.91,25,6,No,No,Male,No,Yes,No,Yes,No,150
Tait Raspin,6.63,8.36,7.69,6.74,9.69,9.05,9.84,8.14,13,0,No,Yes,Male,No,No,Yes,Yes,Yes,136
Karlen Firpo,8.7,6.17,9.87,6.92,9.45,6.85,6.72,9.33,22,3,No,Yes,Male,Yes,Yes,Yes,No,No,85
Rivkah Caswall,6.43,6.94,8.38,8.36,6.23,6.44,7.76,7.53,13,8,No,Yes,Female,No,Yes,No,No,Yes,121
Tamiko Grewar,6.63,8.99,7.01,9.23,6.88,7.78,8.19,8.09,24,10,No,No,Male,Yes,No,No,Yes,No,91
Hugh Gillie,7.26,8.34,7.61,6.22,8.17,9.8,7.77,8.54,20,0,Yes,No,Female,No,No,Yes,No,No,139
Rachelle Hrishchenko,7.93,7.09,9.11,8.94,8.09,6.15,6.81,9.37,16,9,Yes,No,Female,Yes,Yes,No,No,No,81
Jillane Hartrick,8.74,9.8,9.97,9.88,6.65,7.55,9.37,8.62,18,3,No,No,Male,Yes,Yes,No,Yes,No,154
Roana Ghelardoni,9.43,6.57,8.6,9.74,6.51,9.67,7.88,9.29,15,4,No,No,Male,Yes,Yes,No,Yes,No,106
Clo Antonellini,9.17,9.67,8.35,6.49,7.76,7.56,9.16,7.0,21,5,Yes,No,Male,Yes,No,Yes,No,No,102
Dalila Poxson,8.63,6.64,9.09,6.83,7.76,8.99,7.7,9.67,21,4,No,No,Female,No,Yes,No,Yes,Yes,151
Brana Kinworthy,9.2,8.9,6.08,6.1,6.91,6.9,7.63,9.17,15,9,Yes,No,Female,Yes,No,Yes,Yes,No,125
Ninon Underhill,7.0,7.3,9.45,6.59,9.72,8.82,8.34,9.81,17,0,No,Yes,Female,Yes,Yes,Yes,Yes,Yes,173
Sibylle Edwicker,8.35,8.23,7.45,8.2,9.7,6.4,9.22,6.31,25,1,No,Yes,Male,Yes,No,Yes,Yes,No,133
Dorthy Faloon,9.48,9.6,7.33,8.21,6.63,6.31,6.29,7.76,9,9,Yes,No,Female,No,No,No,No,No,100
Edwina Biscomb,8.93,9.72,7.47,8.14,9.81,7.16,9.17,9.95,4,7,Yes,No,Female,Yes,No,No,Yes,No,120
Denni Greave,9.21,8.01,7.99,9.58,7.15,8.73,6.19,6.51,10,7,Yes,No,Female,Yes,Yes,No,No,Yes,130
Carmina Belleny,6.82,8.17,6.2,6.52,8.3,6.19,9.48,7.41,5,8,No,No,Male,Yes,Yes,No,Yes,Yes,156
Wait Buckell,6.62,6.89,6.42,8.9,7.97,9.26,6.39,6.06,21,7,Yes,Yes,Female,No,Yes,No,No,No,127
Cathee Sauniere,9.51,6.39,9.97,6.51,6.25,9.86,7.36,9.93,8,9,No,No,Male,No,Yes,No,No,No,171
Hillier Scown,9.04,7.57,8.84,8.56,9.27,8.89,9.57,7.66,2,5,No,Yes,Male,Yes,No,Yes,No,No,171
Darrin Duthy,9.6,8.23,8.39,9.35,9.93,8.68,8.15,9.64,2,5,No,No,Female,Yes,No,No,Yes,Yes,86
Devan Andell,6.94,8.87,9.08,7.67,7.34,6.85,8.97,7.51,18,8,No,Yes,Female,No,No,No,Yes,No,84
Persis Noke,7.86,9.5,8.58,9.49,6.87,7.45,9.97,9.27,16,5,No,No,Male,No,Yes,Yes,Yes,No,115
Murial Mosconi,9.62,9.29,6.72,8.03,7.67,8.67,8.29,9.57,8,3,Yes,Yes,Male,No,No,Yes,No,No,108
Nev Pyott,8.72,7.96,6.09,6.07,8.21,9.39,8.95,7.63,7,4,Yes,Yes,Female,No,Yes,No,Yes,No,101
Francesco Sanchez,6.56,9.42,6.03,8.37,8.18,7.82,6.52,9.89,21,2,No,No,Female,Yes,Yes,Yes,Yes,No,102
Olin Stanyard,8.03,9.12,9.11,7.18,7.42,8.01,8.93,7.37,23,5,Yes,Yes,Male,Yes,No,No,Yes,No,165
Cybill Harnwell,6.79,8.98,9.02,6.23,7.28,6.38,9.15,6.96,9,9,No,Yes,Male,Yes,Yes,No,No,No,98
Lance Lamb,8.21,6.71,6.84,6.13,6.3,6.39,8.59,8.72,17,9,Yes,No,Male,No,Yes,Yes,Yes,No,86
Van Doward,9.14,7.54,6.67,6.43,6.17,7.31,7.97,8.63,7,0,Yes,No,Male,No,Yes,No,Yes,Yes,177
